INFO |10:52:16{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:21{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:21{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:26{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:26{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:31{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:31{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:36{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:36{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:41{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:41{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:46{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:46{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:51{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:51{scheduling-1} 409-waitForEvolution OK!
INFO |10:52:56{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:52:56{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:01{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:01{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:06{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:06{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:11{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:11{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:37{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:37{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:40{scheduling-1}  55-Carregando mapa de conversas...
ERROR|10:53:40{scheduling-1}  68-Erro ao carregar mapa de conversas. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:53:40{scheduling-1}  69-Criando mapa vazio. java.io.FileNotFoundException: .\Config\map.mem (O sistema não pode encontrar o arquivo especificado)
INFO |10:53:42{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:42{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:47{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:47{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:52{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:52{scheduling-1} 409-waitForEvolution OK!
INFO |10:53:57{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:53:57{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:02{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:02{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:07{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:07{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:14{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:14{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:25{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:25{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:25{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:25{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:27{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:27{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:32{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:32{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:37{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:37{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:42{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:42{scheduling-1} 409-waitForEvolution OK!
INFO |10:54:47{scheduling-1} 405-Buscando Evolution ... @http://localhost:8080
INFO |10:54:47{scheduling-1} 409-waitForEvolution OK!
